DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-10-17,2017-10-17,1456.6,1450.6,1100.0,675.0,1100,1453.6,1453.6,1453.6,SPX01181100C,2018-01-19,C
2017-10-17,2017-10-17,1431.7,1425.7,1125.0,45.0,1125,1428.7,1428.7,1428.7,SPX01181125C,2018-01-19,C
2017-10-17,2017-10-17,1406.8,1400.8,1150.0,0.0,1150,1403.8,1403.8,1403.8,SPX01181150C,2018-01-19,C
2017-10-17,2017-10-17,1382.0,1376.0,1175.0,0.0,1175,1379.0,1379.0,1379.0,SPX01181175C,2018-01-19,C
2017-10-17,2017-10-17,1357.1,1351.1,1200.0,98.0,1200,1351.8,1351.8,1351.8,SPX01181200C,2018-01-19,C
2017-10-17,2017-10-17,0.25,0.05,1200.0,5167.0,1200,0.15,0.15,0.15,SPX01181200P,2018-01-19,P
2017-10-17,2017-10-17,1332.2,1326.2,1225.0,12.0,1225,1329.2,1329.2,1329.2,SPX01181225C,2018-01-19,C
2017-10-17,2017-10-17,0.25,0.05,1225.0,748.0,1225,0.15,0.15,0.15,SPX01181225P,2018-01-19,P
2017-10-17,2017-10-17,1282.4,1276.5,1275.0,75.0,1275,1279.45,1279.45,1279.45,SPX01181275C,2018-01-19,C
2017-10-17,2017-10-17,0.3,0.1,1275.0,2005.0,1275,0.2,0.2,0.2,SPX01181275P,2018-01-19,P
2017-10-17,2017-10-17,1257.6,1251.6,1300.0,220.0,1300,1254.6,1254.6,1254.6,SPX01181300C,2018-01-19,C
2017-10-17,2017-10-17,0.35,0.1,1300.0,817.0,1300,0.225,0.225,0.225,SPX01181300P,2018-01-19,P
2017-10-17,2017-10-17,1232.7,1226.8,1325.0,19.0,1325,1229.75,1229.75,1229.75,SPX01181325C,2018-01-19,C
2017-10-17,2017-10-17,0.35,0.15,1325.0,570.0,1325,0.25,0.25,0.25,SPX01181325P,2018-01-19,P
2017-10-17,2017-10-17,1183.0,1177.0,1375.0,64.0,1375,1180.0,1180.0,1180.0,SPX01181375C,2018-01-19,C
2017-10-17,2017-10-17,0.3,0.2,1375.0,1020.0,1375,0.25,0.25,0.25,SPX01181375P,2018-01-19,P
2017-10-17,2017-10-17,1158.1,1152.2,1400.0,169.0,1400,1155.15,1155.15,1155.15,SPX01181400C,2018-01-19,C
2017-10-17,2017-10-17,0.45,0.2,1400.0,11182.0,1400,0.325,0.325,0.325,SPX01181400P,2018-01-19,P
2017-10-17,2017-10-17,1108.4,1102.4,1450.0,1.0,1450,1105.4,1105.4,1105.4,SPX01181450C,2018-01-19,C
2017-10-17,2017-10-17,0.5,0.3,1450.0,1140.0,1450,0.4,0.4,0.4,SPX01181450P,2018-01-19,P
2017-10-17,2017-10-17,1083.5,1077.6,1475.0,18.0,1475,1080.55,1080.55,1080.55,SPX01181475C,2018-01-19,C
2017-10-17,2017-10-17,0.55,0.35,1475.0,973.0,1475,0.45,0.45,0.45,SPX01181475P,2018-01-19,P
2017-10-17,2017-10-17,1058.6,1052.7,1500.0,122.0,1500,1052.85,1052.85,1052.85,SPX01181500C,2018-01-19,C
2017-10-17,2017-10-17,0.45,0.35,1500.0,6444.0,1500,0.4,0.4,0.4,SPX01181500P,2018-01-19,P
2017-10-17,2017-10-17,1033.8,1027.9,1525.0,38.0,1525,1030.85,1030.85,1030.85,SPX01181525C,2018-01-19,C
2017-10-17,2017-10-17,0.65,0.4,1525.0,415.0,1525,0.525,0.525,0.525,SPX01181525P,2018-01-19,P
2017-10-17,2017-10-17,1008.9,1003.0,1550.0,42.0,1550,1005.95,1005.95,1005.95,SPX01181550C,2018-01-19,C
2017-10-17,2017-10-17,0.65,0.45,1550.0,2133.0,1550,0.55,0.55,0.55,SPX01181550P,2018-01-19,P
2017-10-17,2017-10-17,984.0,978.2,1575.0,3.0,1575,981.1,981.1,981.1,SPX01181575C,2018-01-19,C
2017-10-17,2017-10-17,0.7,0.5,1575.0,552.0,1575,0.6,0.6,0.6,SPX01181575P,2018-01-19,P
2017-10-17,2017-10-17,959.2,953.3,1600.0,3.0,1600,956.25,956.25,956.25,SPX01181600C,2018-01-19,C
