DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-09-08,2017-09-08,1357.9,1351.8,1100.0,600.0,1100,1354.85,1354.85,1354.85,SPX01181100C,2018-01-19,C
2017-09-08,2017-09-08,0.3,0.05,1100.0,2494.0,1100,0.175,0.175,0.175,SPX01181100P,2018-01-19,P
2017-09-08,2017-09-08,1333.0,1327.0,1125.0,0.0,1125,1330.0,1330.0,1330.0,SPX01181125C,2018-01-19,C
2017-09-08,2017-09-08,0.35,0.05,1125.0,612.0,1125,0.2,0.2,0.2,SPX01181125P,2018-01-19,P
2017-09-08,2017-09-08,1308.2,1302.1,1150.0,0.0,1150,1305.15,1305.15,1305.15,SPX01181150C,2018-01-19,C
2017-09-08,2017-09-08,0.35,0.1,1150.0,417.0,1150,0.225,0.225,0.225,SPX01181150P,2018-01-19,P
2017-09-08,2017-09-08,1283.4,1277.3,1175.0,0.0,1175,1280.35,1280.35,1280.35,SPX01181175C,2018-01-19,C
2017-09-08,2017-09-08,0.4,0.1,1175.0,189.0,1175,0.25,0.25,0.25,SPX01181175P,2018-01-19,P
2017-09-08,2017-09-08,1258.5,1252.5,1200.0,8.0,1200,1255.5,1255.5,1255.5,SPX01181200C,2018-01-19,C
2017-09-08,2017-09-08,0.45,0.15,1200.0,5167.0,1200,0.3,0.3,0.3,SPX01181200P,2018-01-19,P
2017-09-08,2017-09-08,1233.7,1227.7,1225.0,2.0,1225,1230.7,1230.7,1230.7,SPX01181225C,2018-01-19,C
2017-09-08,2017-09-08,0.5,0.2,1225.0,748.0,1225,0.35,0.35,0.35,SPX01181225P,2018-01-19,P
2017-09-08,2017-09-08,1184.1,1178.1,1275.0,19.0,1275,1181.1,1181.1,1181.1,SPX01181275C,2018-01-19,C
2017-09-08,2017-09-08,0.55,0.25,1275.0,1999.0,1275,0.4,0.4,0.4,SPX01181275P,2018-01-19,P
2017-09-08,2017-09-08,1159.2,1153.3,1300.0,136.0,1300,1156.25,1156.25,1156.25,SPX01181300C,2018-01-19,C
2017-09-08,2017-09-08,0.6,0.3,1300.0,1267.0,1300,0.45,0.45,0.45,SPX01181300P,2018-01-19,P
2017-09-08,2017-09-08,1134.4,1128.5,1325.0,20.0,1325,1131.45,1131.45,1131.45,SPX01181325C,2018-01-19,C
2017-09-08,2017-09-08,0.65,0.35,1325.0,570.0,1325,0.5,0.5,0.5,SPX01181325P,2018-01-19,P
2017-09-08,2017-09-08,1084.9,1078.9,1375.0,64.0,1375,1081.9,1081.9,1081.9,SPX01181375C,2018-01-19,C
2017-09-08,2017-09-08,0.8,0.5,1375.0,1020.0,1375,0.65,0.65,0.65,SPX01181375P,2018-01-19,P
2017-09-08,2017-09-08,1060.1,1054.2,1400.0,75.0,1400,1057.15,1057.15,1057.15,SPX01181400C,2018-01-19,C
2017-09-08,2017-09-08,0.85,0.55,1400.0,11254.0,1400,0.7,0.7,0.7,SPX01181400P,2018-01-19,P
2017-09-08,2017-09-08,1010.5,1004.6,1450.0,1.0,1450,1007.55,1007.55,1007.55,SPX01181450C,2018-01-19,C
2017-09-08,2017-09-08,1.05,0.7,1450.0,832.0,1450,0.875,0.875,0.875,SPX01181450P,2018-01-19,P
2017-09-08,2017-09-08,985.7,979.9,1475.0,1.0,1475,982.8,982.8,982.8,SPX01181475C,2018-01-19,C
2017-09-08,2017-09-08,1.15,0.8,1475.0,882.0,1475,0.975,0.975,0.975,SPX01181475P,2018-01-19,P
2017-09-08,2017-09-08,960.9,955.1,1500.0,57.0,1500,958.0,958.0,958.0,SPX01181500C,2018-01-19,C
2017-09-08,2017-09-08,1.25,0.9,1500.0,3691.0,1500,1.075,1.075,1.075,SPX01181500P,2018-01-19,P
2017-09-08,2017-09-08,936.2,930.4,1525.0,19.0,1525,933.3,933.3,933.3,SPX01181525C,2018-01-19,C
2017-09-08,2017-09-08,1.35,1.0,1525.0,415.0,1525,1.175,1.175,1.175,SPX01181525P,2018-01-19,P
2017-09-08,2017-09-08,911.4,905.7,1550.0,1.0,1550,908.55,908.55,908.55,SPX01181550C,2018-01-19,C
2017-09-08,2017-09-08,1.5,1.15,1550.0,1361.0,1550,1.325,1.325,1.325,SPX01181550P,2018-01-19,P
2017-09-08,2017-09-08,886.7,881.0,1575.0,1.0,1575,883.85,883.85,883.85,SPX01181575C,2018-01-19,C
2017-09-08,2017-09-08,1.6,1.3,1575.0,520.0,1575,1.45,1.45,1.45,SPX01181575P,2018-01-19,P
2017-09-08,2017-09-08,862.0,856.3,1600.0,5.0,1600,859.15,859.15,859.15,SPX01181600C,2018-01-19,C
2017-09-08,2017-09-08,1.8,1.45,1600.0,3703.0,1600,1.625,1.625,1.625,SPX01181600P,2018-01-19,P
2017-09-08,2017-09-08,837.3,831.6,1625.0,0.0,1625,834.45,834.45,834.45,SPX01181625C,2018-01-19,C
