DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-11-28,2017-11-28,1528.5,1522.0,1100.0,656.0,1100,1525.25,1525.25,1525.25,SPX01181100C,2018-01-19,C
2017-11-28,2017-11-28,1503.6,1497.0,1125.0,45.0,1125,1500.3,1500.3,1500.3,SPX01181125C,2018-01-19,C
2017-11-28,2017-11-28,1478.6,1472.1,1150.0,1.0,1150,1475.35,1475.35,1475.35,SPX01181150C,2018-01-19,C
2017-11-28,2017-11-28,1453.7,1447.2,1175.0,32.0,1175,1450.45,1450.45,1450.45,SPX01181175C,2018-01-19,C
2017-11-28,2017-11-28,1428.8,1422.2,1200.0,98.0,1200,1425.5,1425.5,1425.5,SPX01181200C,2018-01-19,C
2017-11-28,2017-11-28,1403.8,1397.3,1225.0,12.0,1225,1400.55,1400.55,1400.55,SPX01181225C,2018-01-19,C
2017-11-28,2017-11-28,1354.0,1347.5,1275.0,75.0,1275,1350.75,1350.75,1350.75,SPX01181275C,2018-01-19,C
2017-11-28,2017-11-28,1329.0,1322.5,1300.0,218.0,1300,1325.75,1325.75,1325.75,SPX01181300C,2018-01-19,C
2017-11-28,2017-11-28,1304.1,1297.6,1325.0,19.0,1325,1300.85,1300.85,1300.85,SPX01181325C,2018-01-19,C
2017-11-28,2017-11-28,1254.2,1247.7,1375.0,140.0,1375,1250.95,1250.95,1250.95,SPX01181375C,2018-01-19,C
2017-11-28,2017-11-28,1229.3,1222.8,1400.0,170.0,1400,1226.05,1226.05,1226.05,SPX01181400C,2018-01-19,C
2017-11-28,2017-11-28,0.1,0.05,1400.0,18905.0,1400,0.075,0.075,0.075,SPX01181400P,2018-01-19,P
2017-11-28,2017-11-28,1179.5,1173.0,1450.0,1.0,1450,1176.25,1176.25,1176.25,SPX01181450C,2018-01-19,C
2017-11-28,2017-11-28,0.15,0.05,1450.0,1140.0,1450,0.1,0.1,0.1,SPX01181450P,2018-01-19,P
2017-11-28,2017-11-28,1154.5,1148.0,1475.0,18.0,1475,1151.25,1151.25,1151.25,SPX01181475C,2018-01-19,C
2017-11-28,2017-11-28,0.15,0.05,1475.0,927.0,1475,0.1,0.1,0.1,SPX01181475P,2018-01-19,P
2017-11-28,2017-11-28,1129.6,1123.1,1500.0,820.0,1500,1126.35,1126.35,1126.35,SPX01181500C,2018-01-19,C
2017-11-28,2017-11-28,0.15,0.05,1500.0,7361.0,1500,0.1,0.1,0.1,SPX01181500P,2018-01-19,P
2017-11-28,2017-11-28,1104.7,1098.2,1525.0,38.0,1525,1101.45,1101.45,1101.45,SPX01181525C,2018-01-19,C
2017-11-28,2017-11-28,1079.7,1073.2,1550.0,42.0,1550,1076.45,1076.45,1076.45,SPX01181550C,2018-01-19,C
2017-11-28,2017-11-28,1054.8,1048.3,1575.0,3.0,1575,1051.55,1051.55,1051.55,SPX01181575C,2018-01-19,C
2017-11-28,2017-11-28,1029.9,1023.4,1600.0,3.0,1600,1026.65,1026.65,1026.65,SPX01181600C,2018-01-19,C
2017-11-28,2017-11-28,0.15,0.05,1600.0,4935.0,1600,0.1,0.1,0.1,SPX01181600P,2018-01-19,P
2017-11-28,2017-11-28,1004.9,998.5,1625.0,0.0,1625,1001.7,1001.7,1001.7,SPX01181625C,2018-01-19,C
2017-11-28,2017-11-28,980.0,973.5,1650.0,0.0,1650,976.75,976.75,976.75,SPX01181650C,2018-01-19,C
2017-11-28,2017-11-28,0.15,0.05,1650.0,9181.0,1650,0.15,0.15,0.15,SPX01181650P,2018-01-19,P
2017-11-28,2017-11-28,955.1,948.6,1675.0,2.0,1675,951.85,951.85,951.85,SPX01181675C,2018-01-19,C
2017-11-28,2017-11-28,930.2,923.7,1700.0,297.0,1700,926.95,926.95,926.95,SPX01181700C,2018-01-19,C
2017-11-28,2017-11-28,0.25,0.05,1700.0,17090.0,1700,0.15,0.15,0.15,SPX01181700P,2018-01-19,P
2017-11-28,2017-11-28,905.2,898.8,1725.0,0.0,1725,902.0,902.0,902.0,SPX01181725C,2018-01-19,C
2017-11-28,2017-11-28,0.25,0.05,1725.0,615.0,1725,0.15,0.15,0.15,SPX01181725P,2018-01-19,P
2017-11-28,2017-11-28,880.3,873.8,1750.0,3.0,1750,877.05,877.05,877.05,SPX01181750C,2018-01-19,C
2017-11-28,2017-11-28,0.25,0.05,1750.0,9115.0,1750,0.15,0.15,0.15,SPX01181750P,2018-01-19,P
2017-11-28,2017-11-28,855.4,848.9,1775.0,1.0,1775,852.15,852.15,852.15,SPX01181775C,2018-01-19,C
2017-11-28,2017-11-28,0.25,0.05,1775.0,2935.0,1775,0.15,0.15,0.15,SPX01181775P,2018-01-19,P
2017-11-28,2017-11-28,830.5,824.0,1800.0,23.0,1800,827.25,827.25,827.25,SPX01181800C,2018-01-19,C
2017-11-28,2017-11-28,0.25,0.15,1800.0,11258.0,1800,0.2,0.2,0.2,SPX01181800P,2018-01-19,P
2017-11-28,2017-11-28,805.5,799.1,1825.0,1.0,1825,802.3,802.3,802.3,SPX01181825C,2018-01-19,C
2017-11-28,2017-11-28,0.3,0.1,1825.0,2890.0,1825,0.2,0.2,0.2,SPX01181825P,2018-01-19,P
2017-11-28,2017-11-28,780.6,774.2,1850.0,29.0,1850,777.4,777.4,777.4,SPX01181850C,2018-01-19,C
2017-11-28,2017-11-28,0.3,0.15,1850.0,7472.0,1850,0.25,0.25,0.25,SPX01181850P,2018-01-19,P
2017-11-28,2017-11-28,755.7,749.3,1875.0,2.0,1875,752.5,752.5,752.5,SPX01181875C,2018-01-19,C
2017-11-28,2017-11-28,0.35,0.15,1875.0,2273.0,1875,0.25,0.25,0.25,SPX01181875P,2018-01-19,P
2017-11-28,2017-11-28,730.8,724.3,1900.0,305.0,1900,727.55,727.55,727.55,SPX01181900C,2018-01-19,C
2017-11-28,2017-11-28,0.4,0.2,1900.0,13807.0,1900,0.3,0.3,0.3,SPX01181900P,2018-01-19,P
2017-11-28,2017-11-28,705.9,699.4,1925.0,18.0,1925,702.65,702.65,702.65,SPX01181925C,2018-01-19,C
2017-11-28,2017-11-28,0.4,0.2,1925.0,4551.0,1925,0.4,0.35,0.4,SPX01181925P,2018-01-19,P
2017-11-28,2017-11-28,681.0,674.5,1950.0,10.0,1950,677.75,677.75,677.75,SPX01181950C,2018-01-19,C
2017-11-28,2017-11-28,0.45,0.25,1950.0,9242.0,1950,0.42,0.31,0.42,SPX01181950P,2018-01-19,P
2017-11-28,2017-11-28,656.1,649.6,1975.0,56.0,1975,652.85,652.85,652.85,SPX01181975C,2018-01-19,C
2017-11-28,2017-11-28,0.5,0.25,1975.0,3903.0,1975,0.5,0.45,0.5,SPX01181975P,2018-01-19,P
2017-11-28,2017-11-28,631.2,624.8,2000.0,28236.0,2000,627.55,627.55,627.55,SPX01182000C,2018-01-19,C
2017-11-28,2017-11-28,0.55,0.35,2000.0,44889.0,2000,0.52,0.41,0.52,SPX01182000P,2018-01-19,P
2017-11-28,2017-11-28,606.3,599.9,2025.0,52.0,2025,603.1,603.1,603.1,SPX01182025C,2018-01-19,C
2017-11-28,2017-11-28,0.6,0.4,2025.0,12072.0,2025,0.6,0.5,0.6,SPX01182025P,2018-01-19,P
2017-11-28,2017-11-28,581.4,575.0,2050.0,97.0,2050,578.2,578.2,578.2,SPX01182050C,2018-01-19,C
2017-11-28,2017-11-28,0.65,0.45,2050.0,14054.0,2050,0.6,0.5,0.55,SPX01182050P,2018-01-19,P
2017-11-28,2017-11-28,556.6,550.2,2075.0,91.0,2075,553.4,553.4,553.4,SPX01182075C,2018-01-19,C
2017-11-28,2017-11-28,0.75,0.55,2075.0,7016.0,2075,0.8,0.65,0.8,SPX01182075P,2018-01-19,P
2017-11-28,2017-11-28,531.7,525.3,2100.0,334.0,2100,528.5,528.5,528.5,SPX01182100C,2018-01-19,C
