DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-12-12,2017-12-12,1569.2,1562.2,1100.0,656.0,1100,1565.7,1565.7,1565.7,SPX01181100C,2018-01-19,C
2017-12-12,2017-12-12,1544.3,1537.2,1125.0,45.0,1125,1540.75,1540.75,1540.75,SPX01181125C,2018-01-19,C
2017-12-12,2017-12-12,1519.3,1512.3,1150.0,1.0,1150,1515.8,1515.8,1515.8,SPX01181150C,2018-01-19,C
2017-12-12,2017-12-12,1494.4,1487.3,1175.0,32.0,1175,1490.85,1490.85,1490.85,SPX01181175C,2018-01-19,C
2017-12-12,2017-12-12,1469.4,1462.4,1200.0,98.0,1200,1465.9,1465.9,1465.9,SPX01181200C,2018-01-19,C
2017-12-12,2017-12-12,1444.5,1437.5,1225.0,12.0,1225,1441.0,1441.0,1441.0,SPX01181225C,2018-01-19,C
2017-12-12,2017-12-12,1394.6,1387.6,1275.0,75.0,1275,1391.1,1391.1,1391.1,SPX01181275C,2018-01-19,C
2017-12-12,2017-12-12,1369.7,1362.7,1300.0,218.0,1300,1366.2,1366.2,1366.2,SPX01181300C,2018-01-19,C
2017-12-12,2017-12-12,1344.7,1337.7,1325.0,19.0,1325,1341.2,1341.2,1341.2,SPX01181325C,2018-01-19,C
2017-12-12,2017-12-12,1294.9,1287.8,1375.0,140.0,1375,1291.35,1291.35,1291.35,SPX01181375C,2018-01-19,C
2017-12-12,2017-12-12,1269.9,1262.9,1400.0,170.0,1400,1266.4,1266.4,1266.4,SPX01181400C,2018-01-19,C
2017-12-12,2017-12-12,1220.0,1213.0,1450.0,1.0,1450,1216.5,1216.5,1216.5,SPX01181450C,2018-01-19,C
2017-12-12,2017-12-12,1195.1,1188.1,1475.0,18.0,1475,1191.6,1191.6,1191.6,SPX01181475C,2018-01-19,C
2017-12-12,2017-12-12,1170.2,1163.2,1500.0,820.0,1500,1166.7,1166.7,1166.7,SPX01181500C,2018-01-19,C
2017-12-12,2017-12-12,1145.2,1138.2,1525.0,38.0,1525,1141.7,1141.7,1141.7,SPX01181525C,2018-01-19,C
2017-12-12,2017-12-12,1120.3,1113.3,1550.0,42.0,1550,1116.8,1116.8,1116.8,SPX01181550C,2018-01-19,C
2017-12-12,2017-12-12,1095.4,1088.3,1575.0,3.0,1575,1091.85,1091.85,1091.85,SPX01181575C,2018-01-19,C
2017-12-12,2017-12-12,1070.4,1063.4,1600.0,3.0,1600,1066.9,1066.9,1066.9,SPX01181600C,2018-01-19,C
2017-12-12,2017-12-12,1045.5,1038.5,1625.0,0.0,1625,1042.0,1042.0,1042.0,SPX01181625C,2018-01-19,C
2017-12-12,2017-12-12,1020.5,1013.5,1650.0,0.0,1650,1017.0,1017.0,1017.0,SPX01181650C,2018-01-19,C
2017-12-12,2017-12-12,995.6,988.6,1675.0,2.0,1675,992.1,992.1,992.1,SPX01181675C,2018-01-19,C
2017-12-12,2017-12-12,970.7,963.7,1700.0,297.0,1700,967.2,967.2,967.2,SPX01181700C,2018-01-19,C
2017-12-12,2017-12-12,0.2,0.05,1700.0,17036.0,1700,0.125,0.125,0.125,SPX01181700P,2018-01-19,P
2017-12-12,2017-12-12,945.7,938.7,1725.0,0.0,1725,942.2,942.2,942.2,SPX01181725C,2018-01-19,C
2017-12-12,2017-12-12,920.8,913.8,1750.0,3.0,1750,917.3,917.3,917.3,SPX01181750C,2018-01-19,C
2017-12-12,2017-12-12,0.2,0.05,1750.0,9115.0,1750,0.125,0.125,0.125,SPX01181750P,2018-01-19,P
2017-12-12,2017-12-12,895.9,888.9,1775.0,1.0,1775,892.4,892.4,892.4,SPX01181775C,2018-01-19,C
2017-12-12,2017-12-12,0.2,0.05,1775.0,2935.0,1775,0.125,0.125,0.125,SPX01181775P,2018-01-19,P
