DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-08-15,2017-08-15,1357.5,1351.5,1100.0,600.0,1100,1354.5,1354.5,1354.5,SPX01181100C,2018-01-19,C
2017-08-15,2017-08-15,0.55,0.2,1100.0,2467.0,1100,0.375,0.375,0.375,SPX01181100P,2018-01-19,P
2017-08-15,2017-08-15,1332.7,1326.7,1125.0,0.0,1125,1329.7,1329.7,1329.7,SPX01181125C,2018-01-19,C
2017-08-15,2017-08-15,0.55,0.25,1125.0,612.0,1125,0.4,0.4,0.4,SPX01181125P,2018-01-19,P
2017-08-15,2017-08-15,1307.9,1301.9,1150.0,0.0,1150,1304.9,1304.9,1304.9,SPX01181150C,2018-01-19,C
2017-08-15,2017-08-15,0.6,0.3,1150.0,417.0,1150,0.45,0.45,0.45,SPX01181150P,2018-01-19,P
2017-08-15,2017-08-15,1283.1,1277.1,1175.0,0.0,1175,1280.1,1280.1,1280.1,SPX01181175C,2018-01-19,C
2017-08-15,2017-08-15,0.65,0.35,1175.0,189.0,1175,0.5,0.5,0.5,SPX01181175P,2018-01-19,P
2017-08-15,2017-08-15,1258.3,1252.4,1200.0,9.0,1200,1255.35,1255.35,1255.35,SPX01181200C,2018-01-19,C
2017-08-15,2017-08-15,0.7,0.4,1200.0,5144.0,1200,0.55,0.55,0.55,SPX01181200P,2018-01-19,P
2017-08-15,2017-08-15,1233.5,1227.6,1225.0,2.0,1225,1230.55,1230.55,1230.55,SPX01181225C,2018-01-19,C
2017-08-15,2017-08-15,0.75,0.45,1225.0,748.0,1225,0.6,0.6,0.6,SPX01181225P,2018-01-19,P
2017-08-15,2017-08-15,1183.9,1178.1,1275.0,19.0,1275,1181.0,1181.0,1181.0,SPX01181275C,2018-01-19,C
2017-08-15,2017-08-15,0.85,0.55,1275.0,1979.0,1275,0.7,0.7,0.7,SPX01181275P,2018-01-19,P
2017-08-15,2017-08-15,1159.2,1153.3,1300.0,136.0,1300,1155.0,1155.0,1155.0,SPX01181300C,2018-01-19,C
2017-08-15,2017-08-15,0.95,0.65,1300.0,638.0,1300,0.8,0.8,0.8,SPX01181300P,2018-01-19,P
2017-08-15,2017-08-15,1134.4,1128.6,1325.0,20.0,1325,1131.5,1131.5,1131.5,SPX01181325C,2018-01-19,C
2017-08-15,2017-08-15,1.0,0.7,1325.0,560.0,1325,0.85,0.85,0.85,SPX01181325P,2018-01-19,P
2017-08-15,2017-08-15,1084.9,1079.1,1375.0,64.0,1375,1082.0,1082.0,1082.0,SPX01181375C,2018-01-19,C
2017-08-15,2017-08-15,1.15,0.85,1375.0,1020.0,1375,1.0,1.0,1.0,SPX01181375P,2018-01-19,P
2017-08-15,2017-08-15,1060.2,1054.4,1400.0,75.0,1400,1057.3,1057.3,1057.3,SPX01181400C,2018-01-19,C
2017-08-15,2017-08-15,1.25,0.95,1400.0,8254.0,1400,1.1,1.1,1.1,SPX01181400P,2018-01-19,P
2017-08-15,2017-08-15,1010.7,1005.0,1450.0,1.0,1450,1007.85,1007.85,1007.85,SPX01181450C,2018-01-19,C
2017-08-15,2017-08-15,1.5,1.15,1450.0,832.0,1450,1.325,1.325,1.325,SPX01181450P,2018-01-19,P
2017-08-15,2017-08-15,986.0,980.3,1475.0,1.0,1475,983.15,983.15,983.15,SPX01181475C,2018-01-19,C
2017-08-15,2017-08-15,1.6,1.35,1475.0,882.0,1475,1.475,1.475,1.475,SPX01181475P,2018-01-19,P
2017-08-15,2017-08-15,961.3,955.6,1500.0,56.0,1500,958.45,958.45,958.45,SPX01181500C,2018-01-19,C
2017-08-15,2017-08-15,1.75,1.4,1500.0,3694.0,1500,1.65,1.65,1.65,SPX01181500P,2018-01-19,P
2017-08-15,2017-08-15,936.6,930.9,1525.0,19.0,1525,933.75,933.75,933.75,SPX01181525C,2018-01-19,C
2017-08-15,2017-08-15,1.9,1.55,1525.0,415.0,1525,1.725,1.725,1.725,SPX01181525P,2018-01-19,P
2017-08-15,2017-08-15,911.9,906.3,1550.0,1.0,1550,909.1,909.1,909.1,SPX01181550C,2018-01-19,C
2017-08-15,2017-08-15,2.05,1.7,1550.0,1328.0,1550,1.875,1.875,1.875,SPX01181550P,2018-01-19,P
2017-08-15,2017-08-15,887.2,881.6,1575.0,1.0,1575,884.4,884.4,884.4,SPX01181575C,2018-01-19,C
2017-08-15,2017-08-15,2.25,1.9,1575.0,520.0,1575,2.075,2.075,2.075,SPX01181575P,2018-01-19,P
2017-08-15,2017-08-15,862.6,857.0,1600.0,4.0,1600,859.8,859.8,859.8,SPX01181600C,2018-01-19,C
2017-08-15,2017-08-15,2.45,2.1,1600.0,3375.0,1600,2.275,2.275,2.275,SPX01181600P,2018-01-19,P
2017-08-15,2017-08-15,837.9,832.4,1625.0,0.0,1625,835.15,835.15,835.15,SPX01181625C,2018-01-19,C
2017-08-15,2017-08-15,2.65,2.25,1625.0,1910.0,1625,2.5,2.5,2.5,SPX01181625P,2018-01-19,P
2017-08-15,2017-08-15,813.3,807.8,1650.0,0.0,1650,810.55,810.55,810.55,SPX01181650C,2018-01-19,C
2017-08-15,2017-08-15,2.9,2.5,1650.0,3757.0,1650,2.5,2.5,2.5,SPX01181650P,2018-01-19,P
2017-08-15,2017-08-15,788.7,783.3,1675.0,1.0,1675,786.0,786.0,786.0,SPX01181675C,2018-01-19,C
2017-08-15,2017-08-15,3.2,2.75,1675.0,3364.0,1675,2.975,2.975,2.975,SPX01181675P,2018-01-19,P
2017-08-15,2017-08-15,764.2,758.7,1700.0,3.0,1700,761.45,761.45,761.45,SPX01181700C,2018-01-19,C
2017-08-15,2017-08-15,3.5,3.1,1700.0,7682.0,1700,3.3,3.3,3.3,SPX01181700P,2018-01-19,P
2017-08-15,2017-08-15,739.6,734.2,1725.0,0.0,1725,736.9,736.9,736.9,SPX01181725C,2018-01-19,C
2017-08-15,2017-08-15,3.8,3.4,1725.0,387.0,1725,3.6,3.6,3.6,SPX01181725P,2018-01-19,P
2017-08-15,2017-08-15,715.1,709.8,1750.0,3.0,1750,712.45,712.45,712.45,SPX01181750C,2018-01-19,C
