DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-08-07,2017-08-07,1374.4,1355.6,1100.0,600.0,1100,1365.0,1365.0,1365.0,SPX01181100C,2018-01-19,C
2017-08-07,2017-08-07,0.4,0.1,1100.0,2450.0,1100,0.25,0.25,0.25,SPX01181100P,2018-01-19,P
2017-08-07,2017-08-07,1349.7,1330.7,1125.0,0.0,1125,1340.2,1340.2,1340.2,SPX01181125C,2018-01-19,C
2017-08-07,2017-08-07,0.4,0.1,1125.0,601.0,1125,0.25,0.25,0.25,SPX01181125P,2018-01-19,P
2017-08-07,2017-08-07,1324.9,1306.1,1150.0,0.0,1150,1315.5,1315.5,1315.5,SPX01181150C,2018-01-19,C
2017-08-07,2017-08-07,0.45,0.15,1150.0,417.0,1150,0.3,0.3,0.3,SPX01181150P,2018-01-19,P
2017-08-07,2017-08-07,1300.1,1281.2,1175.0,0.0,1175,1290.65,1290.65,1290.65,SPX01181175C,2018-01-19,C
2017-08-07,2017-08-07,0.5,0.2,1175.0,189.0,1175,0.35,0.35,0.35,SPX01181175P,2018-01-19,P
2017-08-07,2017-08-07,1275.4,1256.5,1200.0,9.0,1200,1265.95,1265.95,1265.95,SPX01181200C,2018-01-19,C
2017-08-07,2017-08-07,0.55,0.25,1200.0,4641.0,1200,0.4,0.4,0.4,SPX01181200P,2018-01-19,P
2017-08-07,2017-08-07,1250.6,1231.6,1225.0,2.0,1225,1241.1,1241.1,1241.1,SPX01181225C,2018-01-19,C
2017-08-07,2017-08-07,0.6,0.3,1225.0,748.0,1225,0.45,0.45,0.45,SPX01181225P,2018-01-19,P
2017-08-07,2017-08-07,1201.1,1182.3,1275.0,19.0,1275,1191.7,1191.7,1191.7,SPX01181275C,2018-01-19,C
2017-08-07,2017-08-07,0.7,0.4,1275.0,570.0,1275,0.55,0.55,0.55,SPX01181275P,2018-01-19,P
2017-08-07,2017-08-07,1176.3,1157.5,1300.0,143.0,1300,1166.9,1166.9,1166.9,SPX01181300C,2018-01-19,C
2017-08-07,2017-08-07,0.8,0.5,1300.0,638.0,1300,0.65,0.65,0.65,SPX01181300P,2018-01-19,P
2017-08-07,2017-08-07,1151.6,1132.8,1325.0,20.0,1325,1142.2,1142.2,1142.2,SPX01181325C,2018-01-19,C
