DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-07-21,2017-07-21,1361.1,1354.7,1100.0,600.0,1100,1357.9,1357.9,1357.9,SPX01181100C,2018-01-19,C
2017-07-21,2017-07-21,0.55,0.3,1100.0,2451.0,1100,0.425,0.425,0.425,SPX01181100P,2018-01-19,P
2017-07-21,2017-07-21,1336.3,1330.0,1125.0,0.0,1125,1333.15,1333.15,1333.15,SPX01181125C,2018-01-19,C
2017-07-21,2017-07-21,0.6,0.25,1125.0,601.0,1125,0.425,0.425,0.425,SPX01181125P,2018-01-19,P
2017-07-21,2017-07-21,1311.5,1305.1,1150.0,0.0,1150,1308.3,1308.3,1308.3,SPX01181150C,2018-01-19,C
2017-07-21,2017-07-21,0.6,0.3,1150.0,417.0,1150,0.45,0.45,0.45,SPX01181150P,2018-01-19,P
2017-07-21,2017-07-21,1286.8,1280.4,1175.0,0.0,1175,1283.6,1283.6,1283.6,SPX01181175C,2018-01-19,C
2017-07-21,2017-07-21,0.65,0.35,1175.0,189.0,1175,0.5,0.5,0.5,SPX01181175P,2018-01-19,P
2017-07-21,2017-07-21,1262.0,1255.6,1200.0,9.0,1200,1258.8,1258.8,1258.8,SPX01181200C,2018-01-19,C
2017-07-21,2017-07-21,0.7,0.4,1200.0,1958.0,1200,0.55,0.55,0.55,SPX01181200P,2018-01-19,P
2017-07-21,2017-07-21,1237.2,1230.9,1225.0,0.0,1225,1234.05,1234.05,1234.05,SPX01181225C,2018-01-19,C
2017-07-21,2017-07-21,0.8,0.45,1225.0,748.0,1225,0.625,0.625,0.625,SPX01181225P,2018-01-19,P
2017-07-21,2017-07-21,1187.7,1181.4,1275.0,0.0,1275,1184.55,1184.55,1184.55,SPX01181275C,2018-01-19,C
2017-07-21,2017-07-21,0.9,0.55,1275.0,570.0,1275,0.725,0.725,0.725,SPX01181275P,2018-01-19,P
2017-07-21,2017-07-21,1163.0,1156.7,1300.0,143.0,1300,1159.85,1159.85,1159.85,SPX01181300C,2018-01-19,C
