DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-11-03,2017-11-03,1482.8,1476.2,1100.0,656.0,1100,1473.95,1473.95,1473.95,SPX01181100C,2018-01-19,C
2017-11-03,2017-11-03,1457.9,1451.3,1125.0,45.0,1125,1454.6,1454.6,1454.6,SPX01181125C,2018-01-19,C
2017-11-03,2017-11-03,1433.0,1426.4,1150.0,1.0,1150,1429.7,1429.7,1429.7,SPX01181150C,2018-01-19,C
2017-11-03,2017-11-03,1408.1,1401.5,1175.0,32.0,1175,1404.8,1404.8,1404.8,SPX01181175C,2018-01-19,C
2017-11-03,2017-11-03,1383.2,1376.6,1200.0,98.0,1200,1379.9,1379.9,1379.9,SPX01181200C,2018-01-19,C
2017-11-03,2017-11-03,1358.3,1351.7,1225.0,12.0,1225,1355.0,1355.0,1355.0,SPX01181225C,2018-01-19,C
2017-11-03,2017-11-03,0.15,0.05,1225.0,749.0,1225,0.1,0.1,0.1,SPX01181225P,2018-01-19,P
2017-11-03,2017-11-03,1308.5,1301.9,1275.0,75.0,1275,1305.2,1305.2,1305.2,SPX01181275C,2018-01-19,C
2017-11-03,2017-11-03,0.15,0.05,1275.0,2005.0,1275,0.1,0.1,0.1,SPX01181275P,2018-01-19,P
2017-11-03,2017-11-03,1283.6,1277.0,1300.0,220.0,1300,1280.3,1280.3,1280.3,SPX01181300C,2018-01-19,C
2017-11-03,2017-11-03,0.2,0.05,1300.0,815.0,1300,0.125,0.125,0.125,SPX01181300P,2018-01-19,P
2017-11-03,2017-11-03,1258.7,1252.1,1325.0,19.0,1325,1255.4,1255.4,1255.4,SPX01181325C,2018-01-19,C
2017-11-03,2017-11-03,0.2,0.05,1325.0,570.0,1325,0.125,0.125,0.125,SPX01181325P,2018-01-19,P
2017-11-03,2017-11-03,1208.8,1202.3,1375.0,140.0,1375,1205.55,1205.55,1205.55,SPX01181375C,2018-01-19,C
2017-11-03,2017-11-03,0.2,0.05,1375.0,1020.0,1375,0.125,0.125,0.125,SPX01181375P,2018-01-19,P
2017-11-03,2017-11-03,1183.9,1177.4,1400.0,170.0,1400,1180.65,1180.65,1180.65,SPX01181400C,2018-01-19,C
2017-11-03,2017-11-03,0.2,0.1,1400.0,18915.0,1400,0.15,0.15,0.15,SPX01181400P,2018-01-19,P
2017-11-03,2017-11-03,1134.2,1127.6,1450.0,1.0,1450,1130.9,1130.9,1130.9,SPX01181450C,2018-01-19,C
