DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-08-10,2017-08-10,1330.3,1324.4,1100.0,600.0,1100,1327.35,1327.35,1327.35,SPX01181100C,2018-01-19,C
2017-08-10,2017-08-10,0.75,0.25,1100.0,2467.0,1100,0.5,0.5,0.5,SPX01181100P,2018-01-19,P
2017-08-10,2017-08-10,1305.6,1299.6,1125.0,0.0,1125,1302.6,1302.6,1302.6,SPX01181125C,2018-01-19,C
2017-08-10,2017-08-10,0.9,0.3,1125.0,612.0,1125,0.6,0.6,0.6,SPX01181125P,2018-01-19,P
2017-08-10,2017-08-10,1280.8,1274.9,1150.0,0.0,1150,1277.85,1277.85,1277.85,SPX01181150C,2018-01-19,C
2017-08-10,2017-08-10,0.9,0.35,1150.0,417.0,1150,0.625,0.625,0.625,SPX01181150P,2018-01-19,P
2017-08-10,2017-08-10,1256.0,1250.1,1175.0,0.0,1175,1253.05,1253.05,1253.05,SPX01181175C,2018-01-19,C
2017-08-10,2017-08-10,1.05,0.4,1175.0,189.0,1175,0.725,0.725,0.725,SPX01181175P,2018-01-19,P
2017-08-10,2017-08-10,1231.3,1225.4,1200.0,9.0,1200,1228.35,1228.35,1228.35,SPX01181200C,2018-01-19,C
2017-08-10,2017-08-10,1.1,0.5,1200.0,5141.0,1200,0.7,0.7,0.7,SPX01181200P,2018-01-19,P
2017-08-10,2017-08-10,1206.5,1200.7,1225.0,2.0,1225,1203.6,1203.6,1203.6,SPX01181225C,2018-01-19,C
2017-08-10,2017-08-10,1.2,0.6,1225.0,748.0,1225,0.9,0.9,0.9,SPX01181225P,2018-01-19,P
2017-08-10,2017-08-10,1157.1,1151.2,1275.0,19.0,1275,1154.15,1154.15,1154.15,SPX01181275C,2018-01-19,C
2017-08-10,2017-08-10,1.45,0.75,1275.0,570.0,1275,1.1,1.1,1.1,SPX01181275P,2018-01-19,P
2017-08-10,2017-08-10,1132.3,1126.5,1300.0,143.0,1300,1129.4,1129.4,1129.4,SPX01181300C,2018-01-19,C
2017-08-10,2017-08-10,1.45,0.85,1300.0,638.0,1300,1.15,1.15,1.15,SPX01181300P,2018-01-19,P
2017-08-10,2017-08-10,1107.6,1101.8,1325.0,20.0,1325,1104.7,1104.7,1104.7,SPX01181325C,2018-01-19,C
2017-08-10,2017-08-10,1.65,0.95,1325.0,560.0,1325,1.3,1.3,1.3,SPX01181325P,2018-01-19,P
2017-08-10,2017-08-10,1058.2,1052.5,1375.0,64.0,1375,1055.35,1055.35,1055.35,SPX01181375C,2018-01-19,C
2017-08-10,2017-08-10,1.9,1.2,1375.0,1020.0,1375,1.55,1.55,1.55,SPX01181375P,2018-01-19,P
2017-08-10,2017-08-10,1033.5,1027.8,1400.0,75.0,1400,1030.65,1030.65,1030.65,SPX01181400C,2018-01-19,C
2017-08-10,2017-08-10,2.05,1.35,1400.0,8254.0,1400,1.7,1.7,1.7,SPX01181400P,2018-01-19,P
2017-08-10,2017-08-10,984.2,978.6,1450.0,1.0,1450,981.4,981.4,981.4,SPX01181450C,2018-01-19,C
2017-08-10,2017-08-10,2.4,1.7,1450.0,832.0,1450,2.05,2.05,2.05,SPX01181450P,2018-01-19,P
2017-08-10,2017-08-10,959.6,953.9,1475.0,1.0,1475,956.75,956.75,956.75,SPX01181475C,2018-01-19,C
2017-08-10,2017-08-10,2.6,1.85,1475.0,882.0,1475,1.55,1.55,1.55,SPX01181475P,2018-01-19,P
2017-08-10,2017-08-10,935.0,929.3,1500.0,56.0,1500,932.15,932.15,932.15,SPX01181500C,2018-01-19,C
2017-08-10,2017-08-10,2.8,2.1,1500.0,3694.0,1500,2.25,2.15,2.15,SPX01181500P,2018-01-19,P
2017-08-10,2017-08-10,910.3,904.8,1525.0,19.0,1525,907.55,907.55,907.55,SPX01181525C,2018-01-19,C
2017-08-10,2017-08-10,3.0,2.3,1525.0,415.0,1525,2.42,2.3,2.42,SPX01181525P,2018-01-19,P
2017-08-10,2017-08-10,885.8,880.2,1550.0,1.0,1550,883.0,883.0,883.0,SPX01181550C,2018-01-19,C
2017-08-10,2017-08-10,3.3,2.55,1550.0,1328.0,1550,2.53,2.53,2.53,SPX01181550P,2018-01-19,P
2017-08-10,2017-08-10,861.2,855.7,1575.0,1.0,1575,871.0,871.0,871.0,SPX01181575C,2018-01-19,C
2017-08-10,2017-08-10,3.6,2.8,1575.0,470.0,1575,2.95,2.8,2.8,SPX01181575P,2018-01-19,P
2017-08-10,2017-08-10,836.6,831.2,1600.0,4.0,1600,850.28,850.28,850.28,SPX01181600C,2018-01-19,C
2017-08-10,2017-08-10,3.9,3.1,1600.0,3365.0,1600,3.05,2.7,2.7,SPX01181600P,2018-01-19,P
