DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-09-13,2017-09-13,1391.6,1385.5,1100.0,600.0,1100,1388.55,1388.55,1388.55,SPX01181100C,2018-01-19,C
2017-09-13,2017-09-13,0.2,0.1,1100.0,2494.0,1100,0.15,0.15,0.15,SPX01181100P,2018-01-19,P
2017-09-13,2017-09-13,1366.7,1360.6,1125.0,0.0,1125,1363.65,1363.65,1363.65,SPX01181125C,2018-01-19,C
2017-09-13,2017-09-13,0.2,0.05,1125.0,612.0,1125,0.125,0.125,0.125,SPX01181125P,2018-01-19,P
2017-09-13,2017-09-13,1341.9,1335.8,1150.0,0.0,1150,1338.85,1338.85,1338.85,SPX01181150C,2018-01-19,C
2017-09-13,2017-09-13,0.25,0.05,1150.0,417.0,1150,0.15,0.15,0.15,SPX01181150P,2018-01-19,P
2017-09-13,2017-09-13,1317.0,1311.0,1175.0,0.0,1175,1314.0,1314.0,1314.0,SPX01181175C,2018-01-19,C
2017-09-13,2017-09-13,0.25,0.05,1175.0,189.0,1175,0.15,0.15,0.15,SPX01181175P,2018-01-19,P
2017-09-13,2017-09-13,1292.2,1286.1,1200.0,8.0,1200,1289.15,1289.15,1289.15,SPX01181200C,2018-01-19,C
2017-09-13,2017-09-13,0.25,0.05,1200.0,5167.0,1200,0.15,0.15,0.15,SPX01181200P,2018-01-19,P
2017-09-13,2017-09-13,1267.4,1261.3,1225.0,2.0,1225,1264.35,1264.35,1264.35,SPX01181225C,2018-01-19,C
2017-09-13,2017-09-13,0.3,0.05,1225.0,748.0,1225,0.175,0.175,0.175,SPX01181225P,2018-01-19,P
2017-09-13,2017-09-13,1217.7,1211.7,1275.0,19.0,1275,1214.7,1214.7,1214.7,SPX01181275C,2018-01-19,C
2017-09-13,2017-09-13,0.35,0.1,1275.0,1999.0,1275,0.225,0.225,0.225,SPX01181275P,2018-01-19,P
2017-09-13,2017-09-13,1192.9,1186.9,1300.0,136.0,1300,1189.9,1189.9,1189.9,SPX01181300C,2018-01-19,C
2017-09-13,2017-09-13,0.4,0.15,1300.0,1267.0,1300,0.275,0.275,0.275,SPX01181300P,2018-01-19,P
2017-09-13,2017-09-13,1168.0,1162.1,1325.0,20.0,1325,1165.05,1165.05,1165.05,SPX01181325C,2018-01-19,C
2017-09-13,2017-09-13,0.45,0.2,1325.0,570.0,1325,0.325,0.325,0.325,SPX01181325P,2018-01-19,P
2017-09-13,2017-09-13,1118.4,1112.5,1375.0,64.0,1375,1115.45,1115.45,1115.45,SPX01181375C,2018-01-19,C
2017-09-13,2017-09-13,0.5,0.3,1375.0,1020.0,1375,0.4,0.4,0.4,SPX01181375P,2018-01-19,P
2017-09-13,2017-09-13,1093.6,1087.7,1400.0,75.0,1400,1090.65,1090.65,1090.65,SPX01181400C,2018-01-19,C
2017-09-13,2017-09-13,0.55,0.3,1400.0,11254.0,1400,0.425,0.425,0.425,SPX01181400P,2018-01-19,P
2017-09-13,2017-09-13,1043.9,1038.1,1450.0,1.0,1450,1041.0,1041.0,1041.0,SPX01181450C,2018-01-19,C
2017-09-13,2017-09-13,0.7,0.45,1450.0,832.0,1450,0.575,0.575,0.575,SPX01181450P,2018-01-19,P
2017-09-13,2017-09-13,1019.1,1013.3,1475.0,17.0,1475,1016.2,1016.2,1016.2,SPX01181475C,2018-01-19,C
2017-09-13,2017-09-13,0.75,0.5,1475.0,882.0,1475,0.625,0.625,0.625,SPX01181475P,2018-01-19,P
2017-09-13,2017-09-13,994.3,988.5,1500.0,57.0,1500,989.1,989.1,989.1,SPX01181500C,2018-01-19,C
2017-09-13,2017-09-13,0.85,0.6,1500.0,3691.0,1500,0.725,0.725,0.725,SPX01181500P,2018-01-19,P
