DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-09-15,2017-09-15,1394.1,1388.0,1100.0,600.0,1100,1391.05,1391.05,1391.05,SPX01181100C,2018-01-19,C
2017-09-15,2017-09-15,0.25,0.05,1100.0,2494.0,1100,0.15,0.15,0.15,SPX01181100P,2018-01-19,P
2017-09-15,2017-09-15,1369.2,1363.2,1125.0,0.0,1125,1366.2,1366.2,1366.2,SPX01181125C,2018-01-19,C
2017-09-15,2017-09-15,0.25,0.05,1125.0,612.0,1125,0.15,0.15,0.15,SPX01181125P,2018-01-19,P
2017-09-15,2017-09-15,1344.4,1338.3,1150.0,0.0,1150,1341.35,1341.35,1341.35,SPX01181150C,2018-01-19,C
2017-09-15,2017-09-15,0.3,0.05,1150.0,417.0,1150,0.175,0.175,0.175,SPX01181150P,2018-01-19,P
2017-09-15,2017-09-15,1319.5,1313.5,1175.0,0.0,1175,1316.5,1316.5,1316.5,SPX01181175C,2018-01-19,C
2017-09-15,2017-09-15,0.3,0.05,1175.0,189.0,1175,0.175,0.175,0.175,SPX01181175P,2018-01-19,P
2017-09-15,2017-09-15,1294.7,1288.7,1200.0,8.0,1200,1291.7,1291.7,1291.7,SPX01181200C,2018-01-19,C
2017-09-15,2017-09-15,0.35,0.05,1200.0,5167.0,1200,0.2,0.2,0.2,SPX01181200P,2018-01-19,P
2017-09-15,2017-09-15,1269.8,1263.8,1225.0,2.0,1225,1266.8,1266.8,1266.8,SPX01181225C,2018-01-19,C
2017-09-15,2017-09-15,0.35,0.1,1225.0,748.0,1225,0.225,0.225,0.225,SPX01181225P,2018-01-19,P
2017-09-15,2017-09-15,1220.2,1214.2,1275.0,19.0,1275,1217.2,1217.2,1217.2,SPX01181275C,2018-01-19,C
2017-09-15,2017-09-15,0.4,0.15,1275.0,1999.0,1275,0.275,0.275,0.275,SPX01181275P,2018-01-19,P
2017-09-15,2017-09-15,1195.3,1189.4,1300.0,136.0,1300,1192.35,1192.35,1192.35,SPX01181300C,2018-01-19,C
2017-09-15,2017-09-15,0.45,0.2,1300.0,1267.0,1300,0.325,0.325,0.325,SPX01181300P,2018-01-19,P
2017-09-15,2017-09-15,1170.5,1164.5,1325.0,20.0,1325,1167.5,1167.5,1167.5,SPX01181325C,2018-01-19,C
2017-09-15,2017-09-15,0.5,0.25,1325.0,570.0,1325,0.375,0.375,0.375,SPX01181325P,2018-01-19,P
2017-09-15,2017-09-15,1120.9,1114.9,1375.0,64.0,1375,1117.9,1117.9,1117.9,SPX01181375C,2018-01-19,C
2017-09-15,2017-09-15,0.6,0.35,1375.0,1020.0,1375,0.475,0.475,0.475,SPX01181375P,2018-01-19,P
2017-09-15,2017-09-15,1096.0,1090.1,1400.0,75.0,1400,1093.05,1093.05,1093.05,SPX01181400C,2018-01-19,C
