DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-11-16,2017-11-16,1486.1,1479.5,1100.0,656.0,1100,1482.8,1482.8,1482.8,SPX01181100C,2018-01-19,C
2017-11-16,2017-11-16,1461.2,1454.6,1125.0,45.0,1125,1457.9,1457.9,1457.9,SPX01181125C,2018-01-19,C
2017-11-16,2017-11-16,1436.2,1429.7,1150.0,1.0,1150,1432.95,1432.95,1432.95,SPX01181150C,2018-01-19,C
2017-11-16,2017-11-16,0.1,0.05,1150.0,418.0,1150,0.075,0.075,0.075,SPX01181150P,2018-01-19,P
2017-11-16,2017-11-16,1411.3,1404.8,1175.0,32.0,1175,1408.05,1408.05,1408.05,SPX01181175C,2018-01-19,C
2017-11-16,2017-11-16,1386.4,1379.9,1200.0,98.0,1200,1383.15,1383.15,1383.15,SPX01181200C,2018-01-19,C
2017-11-16,2017-11-16,0.15,0.05,1200.0,5417.0,1200,0.1,0.1,0.1,SPX01181200P,2018-01-19,P
2017-11-16,2017-11-16,1361.5,1354.9,1225.0,12.0,1225,1358.2,1358.2,1358.2,SPX01181225C,2018-01-19,C
2017-11-16,2017-11-16,1311.6,1305.1,1275.0,75.0,1275,1308.35,1308.35,1308.35,SPX01181275C,2018-01-19,C
2017-11-16,2017-11-16,1286.7,1280.2,1300.0,218.0,1300,1283.45,1283.45,1283.45,SPX01181300C,2018-01-19,C
2017-11-16,2017-11-16,0.15,0.05,1300.0,815.0,1300,0.1,0.1,0.1,SPX01181300P,2018-01-19,P
2017-11-16,2017-11-16,1261.8,1255.3,1325.0,19.0,1325,1258.55,1258.55,1258.55,SPX01181325C,2018-01-19,C
2017-11-16,2017-11-16,1212.0,1205.5,1375.0,140.0,1375,1208.75,1208.75,1208.75,SPX01181375C,2018-01-19,C
2017-11-16,2017-11-16,1187.1,1180.6,1400.0,170.0,1400,1183.85,1183.85,1183.85,SPX01181400C,2018-01-19,C
2017-11-16,2017-11-16,0.2,0.1,1400.0,18915.0,1400,0.15,0.15,0.15,SPX01181400P,2018-01-19,P
2017-11-16,2017-11-16,1137.3,1130.8,1450.0,1.0,1450,1134.05,1134.05,1134.05,SPX01181450C,2018-01-19,C
2017-11-16,2017-11-16,0.25,0.05,1450.0,1140.0,1450,0.15,0.15,0.15,SPX01181450P,2018-01-19,P
2017-11-16,2017-11-16,1112.3,1105.9,1475.0,18.0,1475,1109.1,1109.1,1109.1,SPX01181475C,2018-01-19,C
2017-11-16,2017-11-16,0.25,0.05,1475.0,977.0,1475,0.15,0.15,0.15,SPX01181475P,2018-01-19,P
2017-11-16,2017-11-16,1087.4,1081.0,1500.0,822.0,1500,1084.2,1084.2,1084.2,SPX01181500C,2018-01-19,C
2017-11-16,2017-11-16,0.3,0.1,1500.0,7361.0,1500,0.2,0.2,0.2,SPX01181500P,2018-01-19,P
2017-11-16,2017-11-16,1062.5,1056.1,1525.0,38.0,1525,1059.3,1059.3,1059.3,SPX01181525C,2018-01-19,C
2017-11-16,2017-11-16,0.3,0.1,1525.0,415.0,1525,0.2,0.2,0.2,SPX01181525P,2018-01-19,P
2017-11-16,2017-11-16,1037.6,1031.2,1550.0,42.0,1550,1034.4,1034.4,1034.4,SPX01181550C,2018-01-19,C
2017-11-16,2017-11-16,0.35,0.15,1550.0,2133.0,1550,0.25,0.25,0.25,SPX01181550P,2018-01-19,P
2017-11-16,2017-11-16,1012.7,1006.3,1575.0,3.0,1575,1009.5,1009.5,1009.5,SPX01181575C,2018-01-19,C
2017-11-16,2017-11-16,0.35,0.15,1575.0,560.0,1575,0.25,0.25,0.25,SPX01181575P,2018-01-19,P
2017-11-16,2017-11-16,987.8,981.4,1600.0,3.0,1600,984.6,984.6,984.6,SPX01181600C,2018-01-19,C
2017-11-16,2017-11-16,0.4,0.2,1600.0,4935.0,1600,0.3,0.3,0.3,SPX01181600P,2018-01-19,P
2017-11-16,2017-11-16,963.0,956.5,1625.0,0.0,1625,959.75,959.75,959.75,SPX01181625C,2018-01-19,C
2017-11-16,2017-11-16,0.45,0.25,1625.0,4464.0,1625,0.35,0.35,0.35,SPX01181625P,2018-01-19,P
2017-11-16,2017-11-16,938.1,931.6,1650.0,0.0,1650,934.85,934.85,934.85,SPX01181650C,2018-01-19,C
2017-11-16,2017-11-16,0.45,0.25,1650.0,9185.0,1650,0.35,0.35,0.35,SPX01181650P,2018-01-19,P
2017-11-16,2017-11-16,913.2,906.7,1675.0,2.0,1675,909.95,909.95,909.95,SPX01181675C,2018-01-19,C
2017-11-16,2017-11-16,0.55,0.35,1675.0,3340.0,1675,0.45,0.45,0.45,SPX01181675P,2018-01-19,P
2017-11-16,2017-11-16,888.3,881.9,1700.0,297.0,1700,885.1,885.1,885.1,SPX01181700C,2018-01-19,C
2017-11-16,2017-11-16,0.6,0.4,1700.0,17340.0,1700,0.5,0.5,0.5,SPX01181700P,2018-01-19,P
2017-11-16,2017-11-16,863.4,857.0,1725.0,0.0,1725,860.2,860.2,860.2,SPX01181725C,2018-01-19,C
2017-11-16,2017-11-16,0.65,0.45,1725.0,613.0,1725,0.55,0.55,0.55,SPX01181725P,2018-01-19,P
2017-11-16,2017-11-16,838.5,832.1,1750.0,3.0,1750,835.3,835.3,835.3,SPX01181750C,2018-01-19,C
2017-11-16,2017-11-16,0.7,0.55,1750.0,9109.0,1750,0.6,0.6,0.6,SPX01181750P,2018-01-19,P
2017-11-16,2017-11-16,813.7,807.3,1775.0,1.0,1775,810.5,810.5,810.5,SPX01181775C,2018-01-19,C
2017-11-16,2017-11-16,0.75,0.55,1775.0,2937.0,1775,0.65,0.65,0.65,SPX01181775P,2018-01-19,P
2017-11-16,2017-11-16,788.8,782.4,1800.0,23.0,1800,785.6,785.6,785.6,SPX01181800C,2018-01-19,C
2017-11-16,2017-11-16,0.8,0.6,1800.0,10357.0,1800,0.8,0.75,0.8,SPX01181800P,2018-01-19,P
2017-11-16,2017-11-16,764.0,757.6,1825.0,1.0,1825,760.8,760.8,760.8,SPX01181825C,2018-01-19,C
2017-11-16,2017-11-16,0.9,0.65,1825.0,2890.0,1825,0.775,0.775,0.775,SPX01181825P,2018-01-19,P
2017-11-16,2017-11-16,739.1,732.7,1850.0,29.0,1850,735.9,735.9,735.9,SPX01181850C,2018-01-19,C
2017-11-16,2017-11-16,0.95,0.75,1850.0,7715.0,1850,0.85,0.85,0.85,SPX01181850P,2018-01-19,P
2017-11-16,2017-11-16,714.3,707.9,1875.0,2.0,1875,711.1,711.1,711.1,SPX01181875C,2018-01-19,C
2017-11-16,2017-11-16,1.05,0.85,1875.0,2273.0,1875,0.95,0.95,0.95,SPX01181875P,2018-01-19,P
2017-11-16,2017-11-16,689.4,683.1,1900.0,305.0,1900,676.45,676.45,676.45,SPX01181900C,2018-01-19,C
2017-11-16,2017-11-16,1.15,0.95,1900.0,13960.0,1900,1.0,0.98,1.0,SPX01181900P,2018-01-19,P
2017-11-16,2017-11-16,664.6,658.3,1925.0,18.0,1925,661.45,661.45,661.45,SPX01181925C,2018-01-19,C
2017-11-16,2017-11-16,1.25,1.05,1925.0,4548.0,1925,1.15,1.15,1.15,SPX01181925P,2018-01-19,P
2017-11-16,2017-11-16,639.8,633.5,1950.0,10.0,1950,636.65,636.65,636.65,SPX01181950C,2018-01-19,C
2017-11-16,2017-11-16,1.4,1.2,1950.0,9296.0,1950,1.2,1.15,1.2,SPX01181950P,2018-01-19,P
2017-11-16,2017-11-16,615.0,608.7,1975.0,56.0,1975,611.85,611.85,611.85,SPX01181975C,2018-01-19,C
2017-11-16,2017-11-16,1.5,1.3,1975.0,3995.0,1975,1.33,1.33,1.33,SPX01181975P,2018-01-19,P
2017-11-16,2017-11-16,590.2,583.9,2000.0,21986.0,2000,588.54,588.54,588.54,SPX01182000C,2018-01-19,C
2017-11-16,2017-11-16,1.7,1.45,2000.0,40630.0,2000,1.6,1.4,1.5,SPX01182000P,2018-01-19,P
2017-11-16,2017-11-16,565.4,559.2,2025.0,52.0,2025,562.3,562.3,562.3,SPX01182025C,2018-01-19,C
2017-11-16,2017-11-16,1.85,1.6,2025.0,12329.0,2025,1.65,1.64,1.65,SPX01182025P,2018-01-19,P
2017-11-16,2017-11-16,540.7,534.5,2050.0,97.0,2050,537.6,537.6,537.6,SPX01182050C,2018-01-19,C
2017-11-16,2017-11-16,2.05,1.8,2050.0,14069.0,2050,1.7,1.7,1.7,SPX01182050P,2018-01-19,P
2017-11-16,2017-11-16,516.0,509.8,2075.0,91.0,2075,512.9,512.9,512.9,SPX01182075C,2018-01-19,C
2017-11-16,2017-11-16,2.25,2.0,2075.0,7174.0,2075,2.0,1.9,2.0,SPX01182075P,2018-01-19,P
2017-11-16,2017-11-16,491.3,485.1,2100.0,333.0,2100,488.2,488.2,488.2,SPX01182100C,2018-01-19,C
2017-11-16,2017-11-16,2.5,2.25,2100.0,13550.0,2100,2.4,2.2,2.25,SPX01182100P,2018-01-19,P
2017-11-16,2017-11-16,466.6,460.5,2125.0,60.0,2125,463.55,463.55,463.55,SPX01182125C,2018-01-19,C
2017-11-16,2017-11-16,2.8,2.5,2125.0,6672.0,2125,2.75,2.35,2.55,SPX01182125P,2018-01-19,P
2017-11-16,2017-11-16,442.0,436.0,2150.0,1226.0,2150,439.0,439.0,439.0,SPX01182150C,2018-01-19,C
2017-11-16,2017-11-16,3.1,2.85,2150.0,12585.0,2150,2.8,2.8,2.8,SPX01182150P,2018-01-19,P
2017-11-16,2017-11-16,417.4,411.4,2175.0,83.0,2175,414.4,414.4,414.4,SPX01182175C,2018-01-19,C
2017-11-16,2017-11-16,3.5,3.2,2175.0,7539.0,2175,3.15,3.0,3.0,SPX01182175P,2018-01-19,P
2017-11-16,2017-11-16,392.9,387.0,2200.0,874.0,2200,389.95,389.95,389.95,SPX01182200C,2018-01-19,C
2017-11-16,2017-11-16,3.9,3.6,2200.0,27443.0,2200,3.9,3.3,3.85,SPX01182200P,2018-01-19,P
2017-11-16,2017-11-16,368.5,362.6,2225.0,329.0,2225,365.55,365.55,365.55,SPX01182225C,2018-01-19,C
2017-11-16,2017-11-16,4.5,4.1,2225.0,7675.0,2225,4.3,4.3,4.3,SPX01182225P,2018-01-19,P
2017-11-16,2017-11-16,344.1,338.4,2250.0,4199.0,2250,341.25,341.25,341.25,SPX01182250C,2018-01-19,C
2017-11-16,2017-11-16,5.1,4.7,2250.0,37678.0,2250,5.2,4.5,5.19,SPX01182250P,2018-01-19,P
2017-11-16,2017-11-16,319.9,314.2,2275.0,3645.0,2275,319.1,307.4,307.7,SPX01182275C,2018-01-19,C
2017-11-16,2017-11-16,5.8,5.4,2275.0,14222.0,2275,5.33,5.2,5.25,SPX01182275P,2018-01-19,P
2017-11-16,2017-11-16,295.7,290.1,2300.0,5451.0,2300,293.8,293.8,293.8,SPX01182300C,2018-01-19,C
2017-11-16,2017-11-16,6.6,6.2,2300.0,35021.0,2300,6.96,6.13,6.96,SPX01182300P,2018-01-19,P
2017-11-16,2017-11-16,271.6,266.2,2325.0,3563.0,2325,266.25,265.85,266.25,SPX01182325C,2018-01-19,C
2017-11-16,2017-11-16,7.6,7.1,2325.0,15545.0,2325,7.35,7.35,7.35,SPX01182325P,2018-01-19,P
2017-11-16,2017-11-16,247.7,242.4,2350.0,5562.0,2350,245.05,245.05,245.05,SPX01182350C,2018-01-19,C
2017-11-16,2017-11-16,8.7,8.2,2350.0,22203.0,2350,9.6,8.0,9.6,SPX01182350P,2018-01-19,P
2017-11-16,2017-11-16,224.0,218.9,2375.0,3183.0,2375,220.4,220.4,220.4,SPX01182375C,2018-01-19,C
2017-11-16,2017-11-16,9.9,9.5,2375.0,28326.0,2375,10.71,9.2,10.25,SPX01182375P,2018-01-19,P
2017-11-16,2017-11-16,200.6,195.6,2400.0,10274.0,2400,198.1,198.1,198.1,SPX01182400C,2018-01-19,C
2017-11-16,2017-11-16,11.5,11.0,2400.0,48714.0,2400,12.43,10.4,11.95,SPX01182400P,2018-01-19,P
2017-11-16,2017-11-16,177.3,172.6,2425.0,5225.0,2425,174.95,174.95,174.95,SPX01182425C,2018-01-19,C
2017-11-16,2017-11-16,13.4,12.8,2425.0,26723.0,2425,14.4,12.41,14.4,SPX01182425P,2018-01-19,P
2017-11-16,2017-11-16,154.4,149.9,2450.0,16053.0,2450,154.0,143.5,144.2,SPX01182450C,2018-01-19,C
