DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-08-23,2017-08-23,1335.5,1329.7,1100.0,600.0,1100,1332.6,1332.6,1332.6,SPX01181100C,2018-01-19,C
2017-08-23,2017-08-23,0.4,0.15,1100.0,2467.0,1100,0.275,0.275,0.275,SPX01181100P,2018-01-19,P
2017-08-23,2017-08-23,1310.7,1304.9,1125.0,0.0,1125,1307.8,1307.8,1307.8,SPX01181125C,2018-01-19,C
2017-08-23,2017-08-23,0.45,0.2,1125.0,612.0,1125,0.325,0.325,0.325,SPX01181125P,2018-01-19,P
2017-08-23,2017-08-23,1285.9,1280.1,1150.0,0.0,1150,1283.0,1283.0,1283.0,SPX01181150C,2018-01-19,C
2017-08-23,2017-08-23,0.5,0.2,1150.0,417.0,1150,0.35,0.35,0.35,SPX01181150P,2018-01-19,P
2017-08-23,2017-08-23,1261.1,1255.3,1175.0,0.0,1175,1258.2,1258.2,1258.2,SPX01181175C,2018-01-19,C
2017-08-23,2017-08-23,0.55,0.25,1175.0,189.0,1175,0.4,0.4,0.4,SPX01181175P,2018-01-19,P
2017-08-23,2017-08-23,1236.2,1230.5,1200.0,9.0,1200,1233.35,1233.35,1233.35,SPX01181200C,2018-01-19,C
2017-08-23,2017-08-23,0.6,0.3,1200.0,5144.0,1200,0.45,0.45,0.45,SPX01181200P,2018-01-19,P
2017-08-23,2017-08-23,1211.4,1205.7,1225.0,2.0,1225,1208.55,1208.55,1208.55,SPX01181225C,2018-01-19,C
2017-08-23,2017-08-23,0.65,0.35,1225.0,748.0,1225,0.5,0.5,0.5,SPX01181225P,2018-01-19,P
2017-08-23,2017-08-23,1161.8,1156.1,1275.0,19.0,1275,1158.95,1158.95,1158.95,SPX01181275C,2018-01-19,C
2017-08-23,2017-08-23,0.7,0.45,1275.0,1979.0,1275,0.575,0.575,0.575,SPX01181275P,2018-01-19,P
2017-08-23,2017-08-23,1137.0,1131.3,1300.0,136.0,1300,1134.15,1134.15,1134.15,SPX01181300C,2018-01-19,C
2017-08-23,2017-08-23,0.8,0.5,1300.0,1237.0,1300,0.65,0.65,0.65,SPX01181300P,2018-01-19,P
2017-08-23,2017-08-23,1112.3,1106.6,1325.0,20.0,1325,1109.45,1109.45,1109.45,SPX01181325C,2018-01-19,C
2017-08-23,2017-08-23,0.85,0.55,1325.0,560.0,1325,0.7,0.7,0.7,SPX01181325P,2018-01-19,P
2017-08-23,2017-08-23,1062.7,1057.0,1375.0,64.0,1375,1059.85,1059.85,1059.85,SPX01181375C,2018-01-19,C
2017-08-23,2017-08-23,1.0,0.7,1375.0,1020.0,1375,0.85,0.85,0.85,SPX01181375P,2018-01-19,P
2017-08-23,2017-08-23,1037.9,1032.3,1400.0,75.0,1400,1035.1,1035.1,1035.1,SPX01181400C,2018-01-19,C
2017-08-23,2017-08-23,1.05,0.8,1400.0,11254.0,1400,0.925,0.925,0.925,SPX01181400P,2018-01-19,P
2017-08-23,2017-08-23,988.4,982.8,1450.0,1.0,1450,985.6,985.6,985.6,SPX01181450C,2018-01-19,C
2017-08-23,2017-08-23,1.3,0.95,1450.0,832.0,1450,1.125,1.125,1.125,SPX01181450P,2018-01-19,P
2017-08-23,2017-08-23,963.6,958.1,1475.0,1.0,1475,960.85,960.85,960.85,SPX01181475C,2018-01-19,C
2017-08-23,2017-08-23,1.4,1.05,1475.0,882.0,1475,1.225,1.225,1.225,SPX01181475P,2018-01-19,P
2017-08-23,2017-08-23,938.9,933.4,1500.0,57.0,1500,936.15,936.15,936.15,SPX01181500C,2018-01-19,C
2017-08-23,2017-08-23,1.5,1.15,1500.0,3691.0,1500,1.325,1.325,1.325,SPX01181500P,2018-01-19,P
2017-08-23,2017-08-23,914.2,908.7,1525.0,19.0,1525,911.45,911.45,911.45,SPX01181525C,2018-01-19,C
2017-08-23,2017-08-23,1.65,1.25,1525.0,415.0,1525,1.45,1.45,1.45,SPX01181525P,2018-01-19,P
2017-08-23,2017-08-23,889.5,884.0,1550.0,1.0,1550,886.75,886.75,886.75,SPX01181550C,2018-01-19,C
2017-08-23,2017-08-23,1.8,1.4,1550.0,1367.0,1550,1.6,1.6,1.6,SPX01181550P,2018-01-19,P
2017-08-23,2017-08-23,864.8,859.3,1575.0,1.0,1575,862.05,862.05,862.05,SPX01181575C,2018-01-19,C
2017-08-23,2017-08-23,1.95,1.55,1575.0,520.0,1575,1.75,1.75,1.75,SPX01181575P,2018-01-19,P
2017-08-23,2017-08-23,840.1,834.7,1600.0,4.0,1600,837.4,837.4,837.4,SPX01181600C,2018-01-19,C
2017-08-23,2017-08-23,2.1,1.75,1600.0,3697.0,1600,1.925,1.925,1.925,SPX01181600P,2018-01-19,P
