DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-09-22,2017-09-22,1396.5,1390.5,1100.0,600.0,1100,1393.5,1393.5,1393.5,SPX01181100C,2018-01-19,C
2017-09-22,2017-09-22,0.2,0.15,1100.0,2494.0,1100,0.175,0.175,0.175,SPX01181100P,2018-01-19,P
2017-09-22,2017-09-22,1371.7,1365.6,1125.0,0.0,1125,1368.65,1368.65,1368.65,SPX01181125C,2018-01-19,C
2017-09-22,2017-09-22,0.2,0.05,1125.0,612.0,1125,0.2,0.2,0.2,SPX01181125P,2018-01-19,P
2017-09-22,2017-09-22,1346.8,1340.8,1150.0,0.0,1150,1343.8,1343.8,1343.8,SPX01181150C,2018-01-19,C
2017-09-22,2017-09-22,0.25,0.1,1150.0,417.0,1150,0.175,0.175,0.175,SPX01181150P,2018-01-19,P
2017-09-22,2017-09-22,1322.0,1316.0,1175.0,0.0,1175,1319.0,1319.0,1319.0,SPX01181175C,2018-01-19,C
2017-09-22,2017-09-22,0.3,0.05,1175.0,189.0,1175,0.175,0.175,0.175,SPX01181175P,2018-01-19,P
2017-09-22,2017-09-22,1297.1,1291.1,1200.0,7.0,1200,1294.1,1294.1,1294.1,SPX01181200C,2018-01-19,C
2017-09-22,2017-09-22,0.3,0.05,1200.0,5167.0,1200,0.175,0.175,0.175,SPX01181200P,2018-01-19,P
2017-09-22,2017-09-22,1272.3,1266.3,1225.0,2.0,1225,1269.3,1269.3,1269.3,SPX01181225C,2018-01-19,C
2017-09-22,2017-09-22,0.35,0.1,1225.0,748.0,1225,0.225,0.225,0.225,SPX01181225P,2018-01-19,P
2017-09-22,2017-09-22,1222.6,1216.6,1275.0,19.0,1275,1219.6,1219.6,1219.6,SPX01181275C,2018-01-19,C
2017-09-22,2017-09-22,0.4,0.15,1275.0,1999.0,1275,0.275,0.275,0.275,SPX01181275P,2018-01-19,P
2017-09-22,2017-09-22,1197.8,1191.8,1300.0,218.0,1300,1194.8,1194.8,1194.8,SPX01181300C,2018-01-19,C
2017-09-22,2017-09-22,0.45,0.2,1300.0,1117.0,1300,0.325,0.325,0.325,SPX01181300P,2018-01-19,P
2017-09-22,2017-09-22,1172.9,1167.0,1325.0,19.0,1325,1169.95,1169.95,1169.95,SPX01181325C,2018-01-19,C
2017-09-22,2017-09-22,0.5,0.2,1325.0,570.0,1325,0.35,0.35,0.35,SPX01181325P,2018-01-19,P
2017-09-22,2017-09-22,1123.3,1117.3,1375.0,64.0,1375,1120.3,1120.3,1120.3,SPX01181375C,2018-01-19,C
2017-09-22,2017-09-22,0.6,0.3,1375.0,1020.0,1375,0.45,0.45,0.45,SPX01181375P,2018-01-19,P
2017-09-22,2017-09-22,1098.4,1092.5,1400.0,75.0,1400,1095.45,1095.45,1095.45,SPX01181400C,2018-01-19,C
2017-09-22,2017-09-22,0.65,0.35,1400.0,11254.0,1400,0.5,0.5,0.5,SPX01181400P,2018-01-19,P
2017-09-22,2017-09-22,1048.8,1042.9,1450.0,1.0,1450,1045.85,1045.85,1045.85,SPX01181450C,2018-01-19,C
2017-09-22,2017-09-22,0.8,0.5,1450.0,833.0,1450,0.71,0.71,0.71,SPX01181450P,2018-01-19,P
2017-09-22,2017-09-22,1024.0,1018.1,1475.0,17.0,1475,1021.05,1021.05,1021.05,SPX01181475C,2018-01-19,C
2017-09-22,2017-09-22,0.85,0.6,1475.0,883.0,1475,0.79,0.79,0.79,SPX01181475P,2018-01-19,P
2017-09-22,2017-09-22,999.2,993.3,1500.0,57.0,1500,996.25,996.25,996.25,SPX01181500C,2018-01-19,C
2017-09-22,2017-09-22,0.95,0.65,1500.0,3692.0,1500,0.89,0.89,0.89,SPX01181500P,2018-01-19,P
2017-09-22,2017-09-22,974.4,968.5,1525.0,21.0,1525,967.7,967.7,967.7,SPX01181525C,2018-01-19,C
2017-09-22,2017-09-22,1.0,0.75,1525.0,415.0,1525,0.95,0.95,0.95,SPX01181525P,2018-01-19,P
2017-09-22,2017-09-22,949.6,943.7,1550.0,5.0,1550,942.9,942.9,942.9,SPX01181550C,2018-01-19,C
2017-09-22,2017-09-22,1.05,0.8,1550.0,1371.0,1550,1.01,0.99,1.0,SPX01181550P,2018-01-19,P
2017-09-22,2017-09-22,924.8,918.9,1575.0,3.0,1575,918.1,918.1,918.1,SPX01181575C,2018-01-19,C
2017-09-22,2017-09-22,1.15,0.85,1575.0,522.0,1575,1.05,1.05,1.05,SPX01181575P,2018-01-19,P
2017-09-22,2017-09-22,900.0,894.2,1600.0,4.0,1600,897.1,897.1,897.1,SPX01181600C,2018-01-19,C
2017-09-22,2017-09-22,1.2,0.95,1600.0,3704.0,1600,1.13,1.13,1.13,SPX01181600P,2018-01-19,P
2017-09-22,2017-09-22,875.2,869.4,1625.0,0.0,1625,872.3,872.3,872.3,SPX01181625C,2018-01-19,C
2017-09-22,2017-09-22,1.3,1.0,1625.0,4585.0,1625,1.23,1.2,1.23,SPX01181625P,2018-01-19,P
2017-09-22,2017-09-22,850.4,844.6,1650.0,0.0,1650,847.5,847.5,847.5,SPX01181650C,2018-01-19,C
2017-09-22,2017-09-22,1.35,1.1,1650.0,4682.0,1650,1.27,1.27,1.27,SPX01181650P,2018-01-19,P
2017-09-22,2017-09-22,825.6,819.9,1675.0,1.0,1675,822.75,822.75,822.75,SPX01181675C,2018-01-19,C
2017-09-22,2017-09-22,1.5,1.2,1675.0,3275.0,1675,1.4,1.4,1.4,SPX01181675P,2018-01-19,P
2017-09-22,2017-09-22,800.8,795.1,1700.0,44.0,1700,797.95,797.95,797.95,SPX01181700C,2018-01-19,C
2017-09-22,2017-09-22,1.6,1.3,1700.0,9320.0,1700,1.45,1.45,1.45,SPX01181700P,2018-01-19,P
2017-09-22,2017-09-22,776.1,770.4,1725.0,0.0,1725,773.25,773.25,773.25,SPX01181725C,2018-01-19,C
2017-09-22,2017-09-22,1.7,1.4,1725.0,509.0,1725,1.55,1.55,1.55,SPX01181725P,2018-01-19,P
2017-09-22,2017-09-22,751.4,745.7,1750.0,3.0,1750,748.55,748.55,748.55,SPX01181750C,2018-01-19,C
2017-09-22,2017-09-22,1.85,1.55,1750.0,4194.0,1750,1.7,1.7,1.7,SPX01181750P,2018-01-19,P
2017-09-22,2017-09-22,726.6,721.0,1775.0,1.0,1775,723.8,723.8,723.8,SPX01181775C,2018-01-19,C
2017-09-22,2017-09-22,2.05,1.75,1775.0,2809.0,1775,1.9,1.9,1.9,SPX01181775P,2018-01-19,P
2017-09-22,2017-09-22,701.9,696.3,1800.0,22.0,1800,699.1,699.1,699.1,SPX01181800C,2018-01-19,C
2017-09-22,2017-09-22,2.2,1.9,1800.0,8946.0,1800,2.0,2.0,2.0,SPX01181800P,2018-01-19,P
2017-09-22,2017-09-22,677.3,671.7,1825.0,0.0,1825,674.5,674.5,674.5,SPX01181825C,2018-01-19,C
2017-09-22,2017-09-22,2.25,2.1,1825.0,2956.0,1825,2.45,2.25,2.4,SPX01181825P,2018-01-19,P
2017-09-22,2017-09-22,652.6,647.1,1850.0,28.0,1850,649.85,649.85,649.85,SPX01181850C,2018-01-19,C
2017-09-22,2017-09-22,2.65,2.35,1850.0,4284.0,1850,2.55,2.55,2.55,SPX01181850P,2018-01-19,P
2017-09-22,2017-09-22,628.0,622.5,1875.0,2.0,1875,625.25,625.25,625.25,SPX01181875C,2018-01-19,C
