DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-07-28,2017-07-28,1363.0,1356.7,1100.0,600.0,1100,1357.65,1357.27,1357.65,SPX01181100C,2018-01-19,C
2017-07-28,2017-07-28,0.5,0.2,1100.0,2450.0,1100,0.35,0.35,0.35,SPX01181100P,2018-01-19,P
2017-07-28,2017-07-28,1338.2,1331.9,1125.0,0.0,1125,1335.05,1335.05,1335.05,SPX01181125C,2018-01-19,C
2017-07-28,2017-07-28,0.55,0.25,1125.0,601.0,1125,0.4,0.4,0.4,SPX01181125P,2018-01-19,P
2017-07-28,2017-07-28,1313.4,1307.1,1150.0,0.0,1150,1310.25,1310.25,1310.25,SPX01181150C,2018-01-19,C
2017-07-28,2017-07-28,0.6,0.3,1150.0,417.0,1150,0.45,0.45,0.45,SPX01181150P,2018-01-19,P
2017-07-28,2017-07-28,1288.6,1282.4,1175.0,0.0,1175,1285.5,1285.5,1285.5,SPX01181175C,2018-01-19,C
2017-07-28,2017-07-28,0.65,0.35,1175.0,189.0,1175,0.5,0.5,0.5,SPX01181175P,2018-01-19,P
2017-07-28,2017-07-28,1263.9,1257.6,1200.0,10.0,1200,1260.75,1260.75,1260.75,SPX01181200C,2018-01-19,C
2017-07-28,2017-07-28,0.7,0.4,1200.0,1958.0,1200,0.55,0.55,0.55,SPX01181200P,2018-01-19,P
2017-07-28,2017-07-28,1239.1,1232.9,1225.0,2.0,1225,1236.0,1236.0,1236.0,SPX01181225C,2018-01-19,C
2017-07-28,2017-07-28,0.8,0.5,1225.0,748.0,1225,0.65,0.65,0.65,SPX01181225P,2018-01-19,P
2017-07-28,2017-07-28,1189.6,1183.4,1275.0,19.0,1275,1186.5,1186.5,1186.5,SPX01181275C,2018-01-19,C
2017-07-28,2017-07-28,0.9,0.6,1275.0,570.0,1275,0.75,0.75,0.75,SPX01181275P,2018-01-19,P
2017-07-28,2017-07-28,1164.9,1158.7,1300.0,143.0,1300,1161.8,1161.8,1161.8,SPX01181300C,2018-01-19,C
2017-07-28,2017-07-28,1.0,0.7,1300.0,638.0,1300,0.85,0.85,0.85,SPX01181300P,2018-01-19,P
2017-07-28,2017-07-28,1140.1,1134.0,1325.0,20.0,1325,1137.05,1137.05,1137.05,SPX01181325C,2018-01-19,C
2017-07-28,2017-07-28,1.05,0.75,1325.0,560.0,1325,0.9,0.9,0.9,SPX01181325P,2018-01-19,P
2017-07-28,2017-07-28,1090.6,1084.5,1375.0,64.0,1375,1087.55,1087.55,1087.55,SPX01181375C,2018-01-19,C
2017-07-28,2017-07-28,1.25,0.9,1375.0,1020.0,1375,1.075,1.075,1.075,SPX01181375P,2018-01-19,P
2017-07-28,2017-07-28,1065.9,1059.8,1400.0,75.0,1400,1062.85,1062.85,1062.85,SPX01181400C,2018-01-19,C
2017-07-28,2017-07-28,1.3,1.0,1400.0,2094.0,1400,1.15,1.15,1.15,SPX01181400P,2018-01-19,P
2017-07-28,2017-07-28,1016.5,1010.4,1450.0,1.0,1450,1013.45,1013.45,1013.45,SPX01181450C,2018-01-19,C
2017-07-28,2017-07-28,1.55,1.2,1450.0,832.0,1450,1.375,1.375,1.375,SPX01181450P,2018-01-19,P
2017-07-28,2017-07-28,991.8,985.7,1475.0,1.0,1475,988.75,988.75,988.75,SPX01181475C,2018-01-19,C
2017-07-28,2017-07-28,1.65,1.25,1475.0,882.0,1475,1.45,1.45,1.45,SPX01181475P,2018-01-19,P
2017-07-28,2017-07-28,967.1,961.0,1500.0,54.0,1500,964.05,964.05,964.05,SPX01181500C,2018-01-19,C
2017-07-28,2017-07-28,1.75,1.45,1500.0,3674.0,1500,1.6,1.6,1.6,SPX01181500P,2018-01-19,P
2017-07-28,2017-07-28,942.4,936.4,1525.0,19.0,1525,939.4,939.4,939.4,SPX01181525C,2018-01-19,C
2017-07-28,2017-07-28,1.9,1.5,1525.0,385.0,1525,1.7,1.7,1.7,SPX01181525P,2018-01-19,P
2017-07-28,2017-07-28,917.7,911.7,1550.0,1.0,1550,914.7,914.7,914.7,SPX01181550C,2018-01-19,C
2017-07-28,2017-07-28,2.05,1.65,1550.0,1327.0,1550,1.85,1.85,1.85,SPX01181550P,2018-01-19,P
2017-07-28,2017-07-28,893.0,887.1,1575.0,1.0,1575,890.05,890.05,890.05,SPX01181575C,2018-01-19,C
2017-07-28,2017-07-28,2.2,1.8,1575.0,476.0,1575,2.0,2.0,2.0,SPX01181575P,2018-01-19,P
2017-07-28,2017-07-28,868.4,862.5,1600.0,5.0,1600,858.38,858.38,858.38,SPX01181600C,2018-01-19,C
2017-07-28,2017-07-28,2.4,2.0,1600.0,3304.0,1600,2.2,2.2,2.2,SPX01181600P,2018-01-19,P
2017-07-28,2017-07-28,843.7,837.9,1625.0,0.0,1625,840.8,840.8,840.8,SPX01181625C,2018-01-19,C
2017-07-28,2017-07-28,2.6,2.25,1625.0,2079.0,1625,2.48,2.45,2.48,SPX01181625P,2018-01-19,P
2017-07-28,2017-07-28,819.1,813.3,1650.0,0.0,1650,816.2,816.2,816.2,SPX01181650C,2018-01-19,C
2017-07-28,2017-07-28,2.8,2.45,1650.0,2918.0,1650,2.7,2.7,2.7,SPX01181650P,2018-01-19,P
2017-07-28,2017-07-28,794.6,788.7,1675.0,1.0,1675,791.65,791.65,791.65,SPX01181675C,2018-01-19,C
2017-07-28,2017-07-28,3.1,2.7,1675.0,3357.0,1675,2.8,2.8,2.8,SPX01181675P,2018-01-19,P
2017-07-28,2017-07-28,770.0,764.2,1700.0,3.0,1700,767.1,767.1,767.1,SPX01181700C,2018-01-19,C
2017-07-28,2017-07-28,3.2,3.0,1700.0,7246.0,1700,3.1,3.1,3.1,SPX01181700P,2018-01-19,P
2017-07-28,2017-07-28,745.5,739.7,1725.0,0.0,1725,742.6,742.6,742.6,SPX01181725C,2018-01-19,C
2017-07-28,2017-07-28,3.6,3.2,1725.0,366.0,1725,3.6,3.6,3.6,SPX01181725P,2018-01-19,P
2017-07-28,2017-07-28,720.9,715.2,1750.0,3.0,1750,718.05,718.05,718.05,SPX01181750C,2018-01-19,C
2017-07-28,2017-07-28,4.0,3.5,1750.0,2625.0,1750,3.75,3.75,3.75,SPX01181750P,2018-01-19,P
2017-07-28,2017-07-28,696.5,690.8,1775.0,1.0,1775,693.65,693.65,693.65,SPX01181775C,2018-01-19,C
2017-07-28,2017-07-28,4.3,3.9,1775.0,2755.0,1775,4.2,4.15,4.2,SPX01181775P,2018-01-19,P
2017-07-28,2017-07-28,672.0,666.4,1800.0,16.0,1800,669.2,669.2,669.2,SPX01181800C,2018-01-19,C
2017-07-28,2017-07-28,4.7,4.3,1800.0,8689.0,1800,4.5,4.5,4.5,SPX01181800P,2018-01-19,P
2017-07-28,2017-07-28,647.6,642.0,1825.0,0.0,1825,644.8,644.8,644.8,SPX01181825C,2018-01-19,C
2017-07-28,2017-07-28,5.2,4.7,1825.0,343.0,1825,5.2,5.1,5.2,SPX01181825P,2018-01-19,P
2017-07-28,2017-07-28,623.3,617.7,1850.0,28.0,1850,620.5,620.5,620.5,SPX01181850C,2018-01-19,C
2017-07-28,2017-07-28,5.7,5.2,1850.0,3565.0,1850,5.55,5.5,5.5,SPX01181850P,2018-01-19,P
2017-07-28,2017-07-28,599.0,593.5,1875.0,2.0,1875,596.25,596.25,596.25,SPX01181875C,2018-01-19,C
2017-07-28,2017-07-28,6.2,5.7,1875.0,262.0,1875,5.95,5.95,5.95,SPX01181875P,2018-01-19,P
2017-07-28,2017-07-28,574.7,569.3,1900.0,194.0,1900,572.0,572.0,572.0,SPX01181900C,2018-01-19,C
2017-07-28,2017-07-28,6.8,6.3,1900.0,11370.0,1900,6.55,6.55,6.55,SPX01181900P,2018-01-19,P
2017-07-28,2017-07-28,550.6,545.1,1925.0,18.0,1925,547.85,547.85,547.85,SPX01181925C,2018-01-19,C
2017-07-28,2017-07-28,7.4,6.9,1925.0,2483.0,1925,7.15,7.15,7.15,SPX01181925P,2018-01-19,P
2017-07-28,2017-07-28,526.4,521.1,1950.0,10.0,1950,523.75,523.75,523.75,SPX01181950C,2018-01-19,C
2017-07-28,2017-07-28,8.1,7.6,1950.0,5048.0,1950,7.85,7.85,7.85,SPX01181950P,2018-01-19,P
2017-07-28,2017-07-28,502.4,497.1,1975.0,54.0,1975,499.75,499.75,499.75,SPX01181975C,2018-01-19,C
2017-07-28,2017-07-28,9.0,8.4,1975.0,2465.0,1975,8.7,8.7,8.7,SPX01181975P,2018-01-19,P
2017-07-28,2017-07-28,478.5,473.3,2000.0,70.0,2000,475.9,475.9,475.9,SPX01182000C,2018-01-19,C
2017-07-28,2017-07-28,9.9,9.3,2000.0,13873.0,2000,10.2,9.77,10.0,SPX01182000P,2018-01-19,P
2017-07-28,2017-07-28,454.6,449.5,2025.0,42.0,2025,452.05,452.05,452.05,SPX01182025C,2018-01-19,C
2017-07-28,2017-07-28,10.9,10.3,2025.0,2056.0,2025,10.6,10.6,10.6,SPX01182025P,2018-01-19,P
2017-07-28,2017-07-28,430.9,425.8,2050.0,69.0,2050,428.35,428.35,428.35,SPX01182050C,2018-01-19,C
2017-07-28,2017-07-28,12.0,11.4,2050.0,8427.0,2050,12.13,11.9,12.13,SPX01182050P,2018-01-19,P
2017-07-28,2017-07-28,407.3,402.3,2075.0,91.0,2075,404.8,404.8,404.8,SPX01182075C,2018-01-19,C
2017-07-28,2017-07-28,13.2,12.6,2075.0,2152.0,2075,12.9,12.9,12.9,SPX01182075P,2018-01-19,P
2017-07-28,2017-07-28,383.8,379.0,2100.0,286.0,2100,381.4,381.4,381.4,SPX01182100C,2018-01-19,C
2017-07-28,2017-07-28,14.7,14.0,2100.0,8673.0,2100,14.35,14.35,14.35,SPX01182100P,2018-01-19,P
2017-07-28,2017-07-28,360.5,355.8,2125.0,60.0,2125,358.15,358.15,358.15,SPX01182125C,2018-01-19,C
2017-07-28,2017-07-28,16.2,15.5,2125.0,2858.0,2125,15.85,15.85,15.85,SPX01182125P,2018-01-19,P
2017-07-28,2017-07-28,337.4,332.8,2150.0,1251.0,2150,328.6,328.6,328.6,SPX01182150C,2018-01-19,C
2017-07-28,2017-07-28,17.9,17.1,2150.0,6740.0,2150,18.16,17.95,18.15,SPX01182150P,2018-01-19,P
2017-07-28,2017-07-28,314.5,309.9,2175.0,81.0,2175,312.2,312.2,312.2,SPX01182175C,2018-01-19,C
2017-07-28,2017-07-28,19.9,19.0,2175.0,1350.0,2175,19.45,19.45,19.45,SPX01182175P,2018-01-19,P
2017-07-28,2017-07-28,291.7,287.3,2200.0,872.0,2200,289.5,289.5,289.5,SPX01182200C,2018-01-19,C
2017-07-28,2017-07-28,22.0,21.1,2200.0,13233.0,2200,22.0,22.0,22.0,SPX01182200P,2018-01-19,P
2017-07-28,2017-07-28,269.3,265.0,2225.0,328.0,2225,267.15,267.15,267.15,SPX01182225C,2018-01-19,C
2017-07-28,2017-07-28,24.4,23.4,2225.0,3986.0,2225,23.9,23.9,23.9,SPX01182225P,2018-01-19,P
2017-07-28,2017-07-28,247.1,243.0,2250.0,3824.0,2250,245.05,245.05,245.05,SPX01182250C,2018-01-19,C
2017-07-28,2017-07-28,27.2,26.3,2250.0,14338.0,2250,27.5,27.0,27.5,SPX01182250P,2018-01-19,P
2017-07-28,2017-07-28,225.3,221.3,2275.0,3631.0,2275,219.0,217.0,219.0,SPX01182275C,2018-01-19,C
2017-07-28,2017-07-28,30.3,29.2,2275.0,5740.0,2275,30.81,30.8,30.8,SPX01182275P,2018-01-19,P
2017-07-28,2017-07-28,203.8,200.0,2300.0,5401.0,2300,201.9,201.9,201.9,SPX01182300C,2018-01-19,C
2017-07-28,2017-07-28,33.7,32.5,2300.0,17431.0,2300,34.5,33.47,33.8,SPX01182300P,2018-01-19,P
2017-07-28,2017-07-28,182.7,179.1,2325.0,3412.0,2325,180.9,180.9,180.9,SPX01182325C,2018-01-19,C
2017-07-28,2017-07-28,37.6,36.4,2325.0,3915.0,2325,38.25,37.24,38.2,SPX01182325P,2018-01-19,P
2017-07-28,2017-07-28,162.2,158.7,2350.0,5777.0,2350,160.0,157.0,157.0,SPX01182350C,2018-01-19,C
