DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-08-22,2017-08-22,1347.0,1341.1,1100.0,600.0,1100,1344.05,1344.05,1344.05,SPX01181100C,2018-01-19,C
2017-08-22,2017-08-22,0.45,0.1,1100.0,2467.0,1100,0.275,0.275,0.275,SPX01181100P,2018-01-19,P
2017-08-22,2017-08-22,1322.1,1316.3,1125.0,0.0,1125,1319.2,1319.2,1319.2,SPX01181125C,2018-01-19,C
2017-08-22,2017-08-22,0.5,0.15,1125.0,612.0,1125,0.325,0.325,0.325,SPX01181125P,2018-01-19,P
2017-08-22,2017-08-22,1297.3,1291.5,1150.0,0.0,1150,1294.4,1294.4,1294.4,SPX01181150C,2018-01-19,C
2017-08-22,2017-08-22,0.5,0.2,1150.0,417.0,1150,0.35,0.35,0.35,SPX01181150P,2018-01-19,P
2017-08-22,2017-08-22,1272.5,1266.7,1175.0,0.0,1175,1269.6,1269.6,1269.6,SPX01181175C,2018-01-19,C
2017-08-22,2017-08-22,0.55,0.25,1175.0,189.0,1175,0.4,0.4,0.4,SPX01181175P,2018-01-19,P
2017-08-22,2017-08-22,1247.7,1241.9,1200.0,9.0,1200,1244.8,1244.8,1244.8,SPX01181200C,2018-01-19,C
2017-08-22,2017-08-22,0.6,0.25,1200.0,5144.0,1200,0.425,0.425,0.425,SPX01181200P,2018-01-19,P
2017-08-22,2017-08-22,1222.9,1217.1,1225.0,2.0,1225,1220.0,1220.0,1220.0,SPX01181225C,2018-01-19,C
2017-08-22,2017-08-22,0.65,0.3,1225.0,748.0,1225,0.475,0.475,0.475,SPX01181225P,2018-01-19,P
2017-08-22,2017-08-22,1173.3,1167.5,1275.0,19.0,1275,1170.4,1170.4,1170.4,SPX01181275C,2018-01-19,C
2017-08-22,2017-08-22,0.7,0.4,1275.0,1979.0,1275,0.55,0.55,0.55,SPX01181275P,2018-01-19,P
2017-08-22,2017-08-22,1148.5,1142.7,1300.0,136.0,1300,1145.6,1145.6,1145.6,SPX01181300C,2018-01-19,C
2017-08-22,2017-08-22,0.8,0.45,1300.0,1237.0,1300,0.6,0.6,0.6,SPX01181300P,2018-01-19,P
2017-08-22,2017-08-22,1123.7,1118.0,1325.0,20.0,1325,1120.85,1120.85,1120.85,SPX01181325C,2018-01-19,C
2017-08-22,2017-08-22,0.85,0.5,1325.0,560.0,1325,0.675,0.675,0.675,SPX01181325P,2018-01-19,P
2017-08-22,2017-08-22,1074.1,1068.4,1375.0,64.0,1375,1071.25,1071.25,1071.25,SPX01181375C,2018-01-19,C
2017-08-22,2017-08-22,1.0,0.65,1375.0,1020.0,1375,0.825,0.825,0.825,SPX01181375P,2018-01-19,P
